title,text
Morning Light,"The sun rises slow and gold
over the ridge of pines,
spilling warmth across the field
where the dog waits, patient."
River Song,"Water curls around the stones,
singing its low tune.
The heron stands in silver light
and does not move till noon."
Empty Room,"A chair beside the window,
dust along the sill.
The clock has stopped at half past three.
The house is very still."
Winter Garden,"Frost has taken every leaf.
The roses bow their heads.
Beneath the snow the bulbs still dream
of April flower beds."
Ocean at Night,"The waves come in like breathing,
slow and dark and deep.
The lighthouse turns its yellow eye
across the cliffs of sleep."
Bread,"Flour on the counter,
yeast alive with heat.
My grandmother's hands still shape the loaves
the family gathers to eat."
The Crow,"He sits atop the fence post,
black against the grey.
He watches with a tilted head
and has nothing to say."
Old Letters,"I found them in a shoebox,
creased and turning brown.
Your handwriting still leans to the right
in that tiny college town."
Fog,"The city disappears in white.
The bridge is just a guess.
Footsteps pass without a face—
the world made weightless."
Walking Home,"The streetlamps flicker on at five.
Leaves blow across the park.
My breath becomes a little cloud.
I hurry through the dark."
Morning Light duplicate,"The sun rises slow and gold
over the ridge of pines,
spilling warmth across the field
where the dog waits, patient."
River Song duplicate,"Water curls around the stones,
singing its low tune.
The heron stands in silver light
and does not move till noon."
